z_real,z_img,applied_voltage,sbh_weight_percent,catalyst_loading
0.09174,0.00461,0.3,1,4.4
0.09681,-0.0074,0.3,1,4.4
0.10404,-0.00799,0.3,1,4.4
0.10801,-0.00555,0.3,1,4.4
0.10998,-0.0024,0.3,1,4.4
0.111,2.30E-04,0.3,1,4.4
0.11164,0.00232,0.3,1,4.4
0.11242,0.00389,0.3,1,4.4
0.11303,0.00518,0.3,1,4.4
0.11418,0.00638,0.3,1,4.4
0.11512,0.00748,0.3,1,4.4
0.1163,0.00854,0.3,1,4.4
0.11771,0.00959,0.3,1,4.4
0.11912,0.01051,0.3,1,4.4
0.12048,0.01162,0.3,1,4.4
0.12241,0.01257,0.3,1,4.4
0.12427,0.01341,0.3,1,4.4
0.12685,0.01434,0.3,1,4.4
0.12893,0.01551,0.3,1,4.4
0.1318,0.01608,0.3,1,4.4
0.13358,0.01669,0.3,1,4.4
0.13604,0.01803,0.3,1,4.4
0.13862,0.01858,0.3,1,4.4
0.14135,0.01954,0.3,1,4.4
0.14294,0.02014,0.3,1,4.4
0.14581,0.02155,0.3,1,4.4
0.14868,0.02338,0.3,1,4.4
0.15221,0.02492,0.3,1,4.4
0.15479,0.02818,0.3,1,4.4
0.1588,0.03008,0.3,1,4.4
0.16366,0.03302,0.3,1,4.4
0.16771,0.03689,0.3,1,4.4
0.17281,0.04003,0.3,1,4.4
0.1759,0.04626,0.3,1,4.4
0.18381,0.0486,0.3,1,4.4
0.19443,0.05557,0.3,1,4.4
0.20704,0.06087,0.3,1,4.4
0.21445,0.06802,0.3,1,4.4
0.22433,0.0756,0.3,1,4.4
0.23199,0.08459,0.3,1,4.4
0.25413,0.09304,0.3,1,4.4
0.25906,0.10215,0.3,1,4.4
0.28588,0.11282,0.3,1,4.4
0.29654,0.13192,0.3,1,4.4
0.35298,0.1405,0.3,1,4.4
0.36173,0.14916,0.3,1,4.4
0.36805,0.17487,0.3,1,4.4
0.43481,0.17475,0.3,1,4.4
0.46904,0.17552,0.3,1,4.4
0.49031,0.16948,0.3,1,4.4
0.53388,0.14355,0.3,1,4.4
0.5313,0.107,0.3,1,4.4
0.54087,0.09407,0.3,1,4.4
0.57837,0.11556,0.3,1,4.4
0.59041,0.07812,0.3,1,4.4
0.61927,0.07389,0.3,1,4.4
0.06865,0.01271,0.5,1,4.4
0.05995,0.02606,0.5,1,4.4
0.06001,0.02586,0.5,1,4.4
0.05976,0.02594,0.5,1,4.4
0.06011,0.02551,0.5,1,4.4
0.06063,0.02582,0.5,1,4.4
0.06,0.02509,0.5,1,4.4
0.05983,0.02466,0.5,1,4.4
0.06041,0.02605,0.5,1,4.4
0.06014,0.02567,0.5,1,4.4
0.06026,0.02501,0.5,1,4.4
