current_density,cell_voltage,power_density,sbh_weight_percent,catalyst_loading
162.77,0.21432,34.885,1,4.4
118.55,0.24796,29.396,1,4.4
139.01,0.2754,38.284,1,4.4
86.98,0.32585,28.342,1,4.4
95.805,0.38351,36.743,1,4.4
103.87,0.42457,44.099,1,4.4
61.393,0.49311,30.273,1,4.4
73.714,0.52304,38.556,1,4.4
53.105,0.58162,30.887,1,4.4
25.003,0.64597,16.151,1,4.4
21.749,0.63152,13.735,1,4.4
14.197,0.75126,10.665,1,4.4
5.0747,0.81638,4.1428,1,4.4
0.64744,0.79385,0.51397,1,4.4
154.18,0.21141,32.596,3,4.4
138.87,0.26131,36.289,3,4.4
123.59,0.3111,38.45,3,4.4
108.52,0.36176,39.259,3,4.4
94.025,0.41168,38.708,3,4.4
80.572,0.46131,37.168,3,4.4
67.325,0.51135,34.427,3,4.4
55.385,0.56189,31.12,3,4.4
45.028,0.61176,27.546,3,4.4
34.975,0.66146,23.134,3,4.4
28.341,0.70563,19.998,3,4.4
23.304,0.76138,17.743,3,4.4
15.572,0.81097,12.629,3,4.4
9.2644,0.86169,7.983,3,4.4
280.83,0.15785,44.328,5,4.4
250.62,0.212,53.132,5,4.4
244.98,0.246,60.265,5,4.4
200.69,0.29754,59.713,5,4.4
196.27,0.34705,68.117,5,4.4
162.15,0.3957,64.164,5,4.4
155.88,0.43392,67.637,5,4.4
116.53,0.49171,57.301,5,4.4
103.84,0.53774,55.838,5,4.4
62.129,0.60186,37.393,5,4.4
41.29,0.65379,26.995,5,4.4
31.254,0.71689,22.406,5,4.4
10.336,0.77717,8.0325,5,4.4
12.016,0.81496,9.7923,5,4.4
0.38883,0.88197,0.34294,5,4.4
266.07,0.17493,46.543,8,4.4
242.29,0.22488,54.486,8,4.4
216.98,0.27458,59.579,8,4.4
189.57,0.32514,61.638,8,4.4
161.19,0.375,60.446,8,4.4
133.3,0.42483,56.629,8,4.4
106.83,0.4746,50.699,8,4.4
82.531,0.52528,43.352,8,4.4
62.552,0.57502,35.969,8,4.4
46.298,0.62492,28.933,8,4.4
33.373,0.67503,22.528,8,4.4
23.136,0.72281,16.723,8,4.4
16.831,0.77068,12.971,8,4.4
9.1204,0.8217,7.4943,8,4.4
192.19,0.1947,37.419,1,8.8
169.02,0.24477,41.371,1,8.8
145.91,0.29501,43.044,1,8.8
123.97,0.34463,42.723,1,8.8
104.02,0.39446,41.032,1,8.8
86.231,0.44412,38.297,1,8.8
70.702,0.49483,34.986,1,8.8
58.029,0.54467,31.607,1,8.8
47.724,0.59454,28.374,1,8.8
34.645,0.64547,22.363,1,8.8
27.26,0.69168,18.855,1,8.8
24.991,0.74006,18.494,1,8.8
10.614,0.77642,8.2411,1,8.8
10.75,0.84469,9.0808,1,8.8
8.6023,0.86513,7.4421,1,8.8
351.02,0.18436,64.715,3,8.8
328.35,0.23422,76.905,3,8.8
301.48,0.28478,85.857,3,8.8
269.96,0.33458,90.325,3,8.8
236.1,0.38435,90.744,3,8.8
201.86,0.43427,87.661,3,8.8
168.89,0.48475,81.87,3,8.8
138.22,0.53463,73.897,3,8.8
110.9,0.58466,64.837,3,8.8
87.619,0.63445,55.59,3,8.8
67.825,0.68498,46.458,3,8.8
51.098,0.73475,37.544,3,8.8
