z_real,z_img,applied_voltage,sbh_weight_percent
0.33738,-0.02391,0.3,1
0.3538,-0.04858,0.3,1
0.36796,-0.04083,0.3,1
0.36284,-0.02067,0.3,1
0.35485,-0.02393,0.3,1
0.36949,-0.02789,0.3,1
0.36831,0.00181,0.3,1
0.34943,0.00292,0.3,1
0.347,-0.00142,0.3,1
0.3473,-0.00168,0.3,1
0.36244,-0.0098,0.3,1
0.36814,-0.01416,0.3,1
0.35567,0.00246,0.3,1
0.37214,-0.01224,0.3,1
0.36931,-0.0036,0.3,1
0.36957,0,0.3,1
0.3689,0.00801,0.3,1
0.37214,0.01224,0.3,1
0.35692,0.00421,0.3,1
0.36298,0.01429,0.3,1
0.36893,0.03172,0.3,1
0.36493,0.01212,0.3,1
0.35474,0.02154,0.3,1
0.36283,0.014,0.3,1
0.36087,0.01849,0.3,1
0.36026,0.02632,0.3,1
0.36637,0.03025,0.3,1
0.37465,0.02947,0.3,1
0.38284,0.03006,0.3,1
0.37551,0.02661,0.3,1
0.39427,0.04174,0.3,1
0.38906,0.0375,0.3,1
0.40609,0.05788,0.3,1
0.41193,0.0724,0.3,1
0.43711,0.07678,0.3,1
0.4498,0.09002,0.3,1
0.47805,0.09474,0.3,1
0.4771,0.10067,0.3,1
0.50024,0.12966,0.3,1
0.5239,0.12908,0.3,1
0.54634,0.15894,0.3,1
0.54664,0.1826,0.3,1
0.61763,0.18172,0.3,1
0.61539,0.21302,0.3,1
0.66477,0.25319,0.3,1
0.71006,0.28402,0.3,1
0.73373,0.30769,0.3,1
0.85207,0.30769,0.3,1
0.89845,0.40684,0.3,1
0.80982,0.40024,0.3,1
0.9049,0.50788,0.3,1
0.9966,0.51701,0.3,1
0.15474,0.01022,0.5,1
0.17648,-0.04055,0.5,1
0.20448,-0.04564,0.5,1
0.21888,-0.03107,0.5,1
0.22264,-0.02366,0.5,1
0.22642,-0.01794,0.5,1
0.22509,-0.01168,0.5,1
0.22232,-0.00606,0.5,1
0.19087,-0.01273,0.5,1
0.22395,-0.00209,0.5,1
0.22426,-0.00403,0.5,1
0.22419,-0.00082642,0.5,1
0.22545,-0.00045181,0.5,1
0.22584,0.000037792,0.5,1
0.22371,-0.00060886,0.5,1
0.22185,-0.01548,0.5,1
0.22563,0.00499,0.5,1
0.22734,0.01004,0.5,1
0.2296,0.00526,0.5,1
0.23071,0.00584,0.5,1
0.23124,0.00853,0.5,1
0.23274,0.00788,0.5,1
0.2347,0.01046,0.5,1
0.23723,0.01159,0.5,1
0.23785,0.01629,0.5,1
0.23835,0.01749,0.5,1
0.24044,0.02006,0.5,1
0.24293,0.02217,0.5,1
0.24451,0.02755,0.5,1
0.24885,0.03406,0.5,1
0.25145,0.03788,0.5,1
0.2537,0.04615,0.5,1
0.26314,0.05655,0.5,1
0.26805,0.06652,0.5,1
0.28328,0.07658,0.5,1
0.29357,0.0926,0.5,1
0.31334,0.10809,0.5,1
0.3318,0.12381,0.5,1
0.35357,0.13811,0.5,1
0.37635,0.15548,0.5,1
0.40089,0.17437,0.5,1
0.4301,0.18677,0.5,1
0.45326,0.20783,0.5,1
0.49142,0.22639,0.5,1
0.50389,0.24917,0.5,1
0.54049,0.2754,0.5,1
0.56126,0.30966,0.5,1
0.60401,0.36291,0.5,1
0.62732,0.42322,0.5,1
0.68758,0.48718,0.5,1
0.75481,0.56835,0.5,1
0.91975,0.62691,0.5,1
0.91715,0.71192,0.5,1
1.0956,0.78532,0.5,1
1.4559,0.68838,0.5,1
1.5468,0.90458,0.5,1
1.8791,0.88406,0.5,1
1.8743,0.70142,0.5,1
2.3155,0.49185,0.5,1
2.0642,0.46346,0.5,1
0.02914,0.03657,0.7,1
0.0628,-0.04028,0.7,1
0.10874,-0.05098,0.7,1
0.0997,-0.03134,0.7,1
0.06082,-0.03702,0.7,1
0.13539,-0.01451,0.7,1
0.12679,0.02623,0.7,1
0.08794,-0.02638,0.7,1
0.09109,-0.00434,0.7,1
0.08947,0.01278,0.7,1
0.08724,0.02341,0.7,1
0.05932,-0.0233,0.7,1
0.1206,-0.03743,0.7,1
0.1229,-0.02458,0.7,1
0.12558,-0.01674,0.7,1
0.12725,-0.00848,0.7,1
0.12767,-0.00426,0.7,1
0.12781,0,0.7,1
0.13915,0.00649,0.7,1
0.14031,0.00664,0.7,1
0.14121,0.00366,0.7,1
0.1418,0.00758,0.7,1
0.13975,0.01264,0.7,1
0.13766,0.01028,0.7,1
0.14852,0.01456,0.7,1
0.14369,0.01439,0.7,1
0.14802,0.01603,0.7,1
0.15215,0.01746,0.7,1
0.15159,0.02357,0.7,1
0.1582,0.03131,0.7,1
0.15658,0.02767,0.7,1
0.16336,0.0417,0.7,1
0.1675,0.05112,0.7,1
0.17708,0.06363,0.7,1
0.19321,0.07004,0.7,1
0.20145,0.08718,0.7,1
0.22506,0.1044,0.7,1
0.22864,0.08342,0.7,1
0.28587,0.13983,0.7,1
0.32201,0.14253,0.7,1
0.33695,0.14507,0.7,1
0.38781,0.15325,0.7,1
0.38938,0.20798,0.7,1
0.45676,0.20906,0.7,1
0.43821,0.2191,0.7,1
0.49639,0.23397,0.7,1
0.52126,0.25186,0.7,1
0.56753,0.28384,0.7,1
0.57577,0.31036,0.7,1
0.58714,0.36449,0.7,1
0.64455,0.44703,0.7,1
0.62629,0.51475,0.7,1
0.49855,0.2614,0.7,1
0.89514,0.74529,0.7,1
1.0016,0.81548,0.7,1
1.0174,1.0381,0.7,1
1.1703,1.2376,0.7,1
1.4966,1.5173,0.7,1
1.4396,1.6053,0.7,1
2.0299,1.7089,0.7,1
0.1444,-0.03013,0.3,3
0.14735,-0.03296,0.3,3
0.15237,-0.02879,0.3,3
0.15496,-0.02281,0.3,3
0.15623,-0.01722,0.3,3
0.15681,-0.01289,0.3,3
0.15696,-0.00919,0.3,3
0.15684,-0.00654,0.3,3
0.15717,-0.00432,0.3,3
0.15742,-0.00239,0.3,3
0.15762,-0.00108,0.3,3
0.15818,1.66E-04,0.3,3
0.15887,0.00114,0.3,3
0.15916,0.00234,0.3,3
0.15948,0.00328,0.3,3
0.16024,0.00413,0.3,3
0.16102,0.00485,0.3,3
0.16177,0.00609,0.3,3
0.16213,0.00706,0.3,3
0.163,0.00795,0.3,3
0.16439,0.00923,0.3,3
0.1653,0.01059,0.3,3
0.16621,0.01186,0.3,3
0.16689,0.0138,0.3,3
0.16905,0.01634,0.3,3
0.17033,0.01806,0.3,3
0.17225,0.02141,0.3,3
0.17534,0.02481,0.3,3
0.17727,0.02915,0.3,3
0.18025,0.03384,0.3,3
0.18349,0.03919,0.3,3
0.19067,0.04462,0.3,3
0.19524,0.05255,0.3,3
0.2125,0.05795,0.3,3
0.21388,0.06603,0.3,3
0.22716,0.07577,0.3,3
0.23628,0.08675,0.3,3
0.25944,0.09714,0.3,3
0.28198,0.12282,0.3,3
0.29281,0.12671,0.3,3
0.30543,0.14023,0.3,3
0.35412,0.16151,0.3,3
0.3725,0.1718,0.3,3
0.41691,0.17928,0.3,3
0.45127,0.19599,0.3,3
0.47846,0.18388,0.3,3
0.52296,0.18561,0.3,3
0.52826,0.14522,0.3,3
0.59533,0.14733,0.3,3
0.66517,0.17202,0.3,3
0.59274,0.1262,0.3,3
0.65911,0.10863,0.3,3
0.63191,0.09639,0.3,3
0.67512,0.08328,0.3,3
0.57808,0.06668,0.3,3
0.63053,0.02803,0.3,3
0.67769,-0.02106,0.3,3
0.62264,0.01183,0.3,3
0.62054,0.04481,0.3,3
0.60997,0.01309,0.3,3
0.14348,-0.02714,0.5,3
0.14979,-0.03404,0.5,3
0.1569,-0.02821,0.5,3
0.15837,-0.02405,0.5,3
0.16042,-0.01787,0.5,3
0.16064,-0.01323,0.5,3
0.16105,-0.00941,0.5,3
0.16108,-0.00657,0.5,3
0.16111,-0.00432,0.5,3
0.16174,-0.00219,0.5,3
0.16173,-0.00113,0.5,3
0.16215,3.74E-04,0.5,3
0.16264,0.00119,0.5,3
0.16312,0.00228,0.5,3
0.16373,0.00331,0.5,3
0.16436,0.0037,0.5,3
0.16496,0.00512,0.5,3
0.16553,0.00575,0.5,3
0.16628,0.0065,0.5,3
0.16793,0.00717,0.5,3
0.1689,0.00815,0.5,3
0.16995,0.0091,0.5,3
0.17065,0.01027,0.5,3
0.17136,0.01188,0.5,3
0.17351,0.01303,0.5,3
0.17504,0.01486,0.5,3
0.17651,0.01676,0.5,3
0.17869,0.01884,0.5,3
0.18134,0.02128,0.5,3
0.1849,0.02516,0.5,3
0.18877,0.02726,0.5,3
0.1939,0.03048,0.5,3
0.19886,0.0345,0.5,3
0.20392,0.03786,0.5,3
0.21141,0.03956,0.5,3
0.21744,0.04246,0.5,3
0.22232,0.04634,0.5,3
0.22737,0.05195,0.5,3
0.23227,0.05708,0.5,3
0.23695,0.06526,0.5,3
0.238,0.07351,0.5,3
0.25736,0.09085,0.5,3
0.26029,0.09989,0.5,3
0.27684,0.12461,0.5,3
0.28589,0.14303,0.5,3
0.31153,0.17608,0.5,3
0.33718,0.20424,0.5,3
0.38304,0.24246,0.5,3
0.41531,0.27331,0.5,3
0.43717,0.29705,0.5,3
0.52814,0.36223,0.5,3
0.57126,0.39498,0.5,3
0.60296,0.41012,0.5,3
0.65745,0.42339,0.5,3
0.86419,0.39286,0.5,3
0.90111,0.36124,0.5,3
0.97148,0.34457,0.5,3
0.89796,0.36658,0.5,3
0.9157,0.2223,0.5,3
0.98669,0.19556,0.5,3
0.15385,-0.03576,0.7,3
0.16342,-0.033,0.7,3
0.16835,-0.02479,0.7,3
0.15163,-0.02249,0.7,3
0.16503,-0.01965,0.7,3
0.16868,-0.00549,0.7,3
0.15711,-0.00994,0.7,3
0.16309,-0.00347,0.7,3
0.15533,-0.0042,0.7,3
0.15922,0.00159,0.7,3
0.16205,-0.00824,0.7,3
0.1593,-0.00233,0.7,3
0.15857,1.08E-04,0.7,3
0.15976,0,0.7,3
0.16062,0.01606,0.7,3
0.16656,0.00394,0.7,3
0.159,0.00242,0.7,3
0.15443,0.01252,0.7,3
0.16765,0.01773,0.7,3
0.17054,0.01582,0.7,3
0.1643,-0.00235,0.7,3
0.163,0.00409,0.7,3
0.16276,0.00479,0.7,3
0.16247,9.18E-04,0.7,3
0.17286,0.01571,0.7,3
0.17266,0.00311,0.7,3
0.17792,0.01496,0.7,3
0.18151,0.02269,0.7,3
